Cycle,TargetRange,SNR,PulseWidth,Threshold
1,413.1823095671485,2.000970747792255,1e-06,2.0
2,226.7111277144546,1.9729977745770475,2e-06,1.8
3,766.257118211703,2.010436078615937,2e-06,1.8
4,335.475051650335,2.0628099132884117,2e-06,1.8
5,300.2222651043895,2.011866189434414,2e-06,1.8
6,831.436174519307,2.064754387096008,2e-06,1.8
7,590.1859036642946,2.0466210967094396,2e-06,1.8
8,147.47733610199091,2.2387425931003735,2e-06,1.8
9,799.0784337541124,1.971036367100298,2e-06,1.8
10,940.6284600792097,1.7985895397175726,4e-06,1.62
